title,url
MindMaster 思维导图 – 好用的跨平台云储存导图制作工具 （可团队协作多人编辑）,https://www.appinn.com/mindmaster/
Zesture – 用手势控制播放视频、音乐、PPT[Windows/macOS],https://www.appinn.com/zesture/
macintosh.js – 在现代 Windows、macOS、Linux 操作系统中模拟 1997 年的 Mac OS 8,https://www.appinn.com/macintosh-js/
WinXcorners – 当鼠标移动到屏幕四角，触发快捷功能[Windows],https://www.appinn.com/winxcorners-for-windows/
万彩字影大师-自媒体抖音文字动画视频制作软件（送1000个特别版激活码）,https://www.appinn.com/wancai-ziying/
Stems – 为歌曲分离音轨，去除人声，创建伴奏音乐[Win/macOS],https://www.appinn.com/stems/
麋鹿微博工具箱 – 批量删除微博、批量设置仅自己可见：告别微博黑历史,https://www.appinn.com/milu-weibo-tools/
Okular – 来自 KDE 的通用文档阅读器，可高亮、注释，支持 PDF、ePub、XPS、图片等多种文档格式,https://www.appinn.com/okular/
微软官方发布已删除数据恢复工具 Windows File Recovery,https://www.appinn.com/windows-file-recovery/
Caplos – 只有 50KB 的大小写键工具，让你打代码如飞[Windows],https://www.appinn.com/caplos-for-windows/
LuckyYou – 开源的抽奖小工具， 课堂提问点名小工具[Win/macOS/Linux],https://www.appinn.com/lucky-you-jwenjian/
PhotoRec – 开源数码照片及数据恢复工具,https://www.appinn.com/photorec/
PureRef – 将全部参考图片放在一处[Win/macOS/Linux],https://www.appinn.com/pureref/
"万彩手影大师 – 自媒体(抖音,快手等)动画视频制作软件，送1000个特别版",https://www.appinn.com/wancai-shouying-202006/
Fluent Reader – 开源的桌面 RSS 阅读器[Win/macOS],https://www.appinn.com/fluent-reader/
99美金的 Surface Dial，只需一个 Android 应用 AB Dial 就搞定了,https://www.appinn.com/ab-dial-for-android/
Screenote – 全快捷键截图、贴图工具[Windows],https://www.appinn.com/screenote-for-windows/
BaiduPanFilesTransfers – 百度网盘批量转存工具，将文件转存至自己的百度盘[Windows],https://www.appinn.com/baidupan-files-transfers/
InfoBar – 在 Windows 顶部添加系统状态栏，还能滚动显示 RSS 新信息,https://www.appinn.com/infobar/
微PE工具箱时隔 3 年再更新,https://www.appinn.com/wepe-2-1/
Matrix Screensaver – 黑客帝国式矩阵屏保[Windows],https://www.appinn.com/matrix-screensaver/
稳部落 – 专业备份导出微博记录，炸号也能用[Win/macOS],https://www.appinn.com/stablog-weibo-backup/
Uncle小说 – 支持有声书的通用小说下载器+阅读器[Windows],https://www.appinn.com/uncle-xiaoshuo-download/
「标签式」 文件管理神器 tagLyst 3，现在可以不改文件名，智能匹配标签了,https://www.appinn.com/taglyst-3/
ZY-Player – 可播放12家在线视频的跨平台开源视频播放器,https://www.appinn.com/zy-player/
SETUNA2 – 截图并订在屏幕上[Windows],https://www.appinn.com/setuna2-for-windows/
